Instância;WT óptimo;ACO;PSO;ABC
Wa40_1;913;1003;913;913
Wa40_2;1225;1781;1225;1225
Wa40_3;537;1557;537;537
Wa40_4;2094;3020;2094;2094
Wa40_5;990;1180;990;990
Wa40_6;6955;17008;7614;6955
Wa40_7;6324;10116;6324;6324
Wa40_8;6865;10853;7048;6865
Wa40_9;16225;23467;16289;16225
Wa40_10;9737;16800;9741;9737
Wa40_11;17465;38563;20334;17465
Wa40_12;19312;33729;19961;19312
Wa40_13;29256;49262;30812;29256
Wa40_14;14377;28531;14497;14377
Wa40_15;26914;46192;27718;26914
Wa40_16;72317;112463;76364;72317
Wa40_17;78623;102721;83190;78623
Wa40_18;74310;109266;77302;74310
Wa40_19;77122;110673;83191;77122
Wa40_20;63229;91617;67679;63229
Wa40_21;77774;102521;83164;77774
Wa40_22;100484;130534;106972;100484
Wa40_23;135618;177417;136910;135618
Wa40_24;119947;159194;126935;119947
Wa40_25;128747;163745;130907;128747
Wa50_1;2134;3368;2184;2134
Wa50_2;1996;2756;2153;1996
Wa50_3;2583;3950;2583;2583
Wa50_4;2691;5488;3028;2691
Wa50_5;1518;1528;1518;1518
Wa50_6;26276;40763;26942;26276
Wa50_7;11403;24507;11801;11403
Wa50_8;8499;18697;9041;8499
Wa50_9;9884;21308;9983;9884
Wa50_10;10655;22766;11043;10655
Wa50_11;43504;76678;44171;43504
Wa50_12;36378;66896;38384;36461
Wa50_13;45383;77141;52765;45383
Wa50_14;51785;90614;54491;51816
Wa50_15;38934;67917;42208;38934
Wa50_16;87902;149186;99512;87902
Wa50_17;84260;144826;87409;84274
Wa50_18;104795;160953;113589;104795
Wa50_19;89299;152289;89663;89299
Wa50_20;72316;114969;78951;72316
Wa50_21;214546;280505;220916;214546
Wa50_22;150800;204773;154409;150800
Wa50_23;224025;302774;229841;224025
Wa50_24;116015;181168;125963;116015
Wa50_25;240179;293842;249376;240179
Wa100_1;5988;25672;7281;5988
Wa100_2;6170;25128;7201;6182
Wa100_3;4267;16431;5291;4267
Wa100_4;5011;25906;5881;5011
Wa100_5;5283;18976;5786;5283
Wa100_6;58258;152133;63910;58258
Wa100_7;50972;141890;58858;50972
Wa100_8;59434;143189;64313;59441
Wa100_9;40978;130371;55463;40978
Wa100_10;53208;118053;54138;53208
Wa100_11;181649;349834;192175;181994
Wa100_12;234179;420745;258600;234179
Wa100_13;178840;413860;204852;178948
Wa100_14;157476;353616;175709;157547
Wa100_15;172995;365354;208880;173020
Wa100_16;407703;713044;434794;407784
Wa100_17;332804;677344;381599;333097
Wa100_18;544838;820591;590217;544862
Wa100_19;477684;795374;496077;497886
Wa100_20;406094;713785;439277;406278
Wa100_21;898925;1339193;983113;898933
Wa100_22;556873;817927;583536;556901
Wa100_23;539716;836438;571602;539759
Wa100_24;744287;1056978;770075;744287
Wa100_25;585306;959286;643991;585326
